timestep,susceptible,infected,recovered
0,173,27,0
1,172,28,0
2,172,28,0
3,170,30,0
4,170,30,0
5,167,33,0
6,165,35,0
7,163,37,0
8,162,38,0
9,161,39,0
10,161,39,0
11,160,40,0
12,157,43,0
13,155,45,0
14,154,46,0
15,152,48,0
16,149,51,0
17,147,53,0
18,141,59,0
19,134,66,0
20,132,68,0
21,129,71,0
22,125,75,0
23,124,76,0
24,119,81,0
25,114,86,0
26,113,87,0
27,111,89,0
28,105,95,0
29,100,73,27
30,100,72,28
31,98,74,28
32,97,73,30
33,94,76,30
34,90,77,33
35,89,76,35
36,85,78,37
37,84,78,38
38,83,78,39
39,79,82,39
40,79,81,40
41,77,80,43
42,73,82,45
43,72,82,46
44,71,81,48
45,70,79,51
46,68,79,53
47,67,74,59
48,65,69,66
49,64,68,68
50,64,65,71
51,62,63,75
52,62,62,76
53,60,59,81
54,60,54,86
55,59,54,87
56,58,53,89
57,58,47,95
58,58,42,100
59,58,42,100
60,57,41,102
61,57,40,103
62,56,38,106
63,56,34,110
64,56,33,111
65,55,30,115
66,52,32,116
67,52,31,117
68,52,27,121
69,49,30,121
70,49,28,123
71,48,25,127
72,48,24,128
73,48,23,129
74,48,22,130
75,48,20,132
76,47,20,133
77,47,18,135
78,47,17,136
79,47,17,136
80,47,15,138
81,45,17,138
82,45,15,140
83,44,16,140
84,44,15,141
85,44,14,142
86,44,14,142
87,44,14,142
88,44,14,142
89,44,13,143
90,44,13,143
91,43,13,144
92,43,13,144
93,43,13,144
94,43,12,145
95,43,9,148
96,43,9,148
97,42,10,148
98,42,7,151
99,42,7,151
100,42,6,152
101,42,6,152
102,42,6,152
103,41,7,152
104,41,7,152
105,41,6,153
106,41,6,153
107,41,6,153
108,41,6,153
109,40,7,153
110,40,5,155
111,40,5,155
112,40,4,156
113,40,4,156
114,40,4,156
115,40,4,156
116,40,4,156
117,40,4,156
118,40,4,156
119,40,4,156
120,40,3,157
121,40,3,157
122,40,3,157
123,40,3,157
124,40,3,157
125,40,3,157
126,40,2,158
127,40,2,158
128,40,2,158
129,40,2,158
130,40,2,158
131,40,2,158
132,39,2,159
133,39,2,159
134,39,2,159
135,39,2,159
136,39,2,159
137,39,2,159
138,39,1,160
139,39,1,160
140,39,1,160
141,39,1,160
142,39,1,160
143,39,1,160
144,39,1,160
145,39,1,160
146,39,1,160
147,39,1,160
148,39,1,160
149,39,1,160
150,39,1,160
151,39,1,160
152,39,1,160
153,39,1,160
154,39,1,160
155,39,1,160
156,39,1,160
157,39,1,160
158,39,1,160
159,39,1,160
160,39,1,160
161,39,0,161
